,ID,Keywords,emb_2d_0,emb_2d_1,borders
0,0,"gauge theory,quantum gravity",12.697357,0.39939848,"4.2855,7.9722543 3.8626096,7.8197637 4.288308,7.8325615 4.463878,7.959992"
1,1,"hilbert space,banach algebra",10.081392,2.3431108,"3.359128,7.8239093 3.4185886,7.7460556 3.5175254,7.7091794 3.607163,7.718929 3.6627085,7.872337 3.6557586,7.9424763 3.4522884,7.9102683 3.3981454,7.867575"
2,2,"galerkin method,discontinuous galerkin",10.597466,7.265854,"2.9312212,7.8591776 3.0347795,7.9194303 2.9632208,7.9919596 2.8234932,8.024061 2.6264749,8.067833 2.5800326,8.048514 2.6569588,7.8931293 2.7696266,7.874699"
3,3,"mathematics education,mathematics teach",1.2385328,7.943458,"2.071932,8.221897 2.250787,8.204028 2.1691754,8.330573 2.1333346,8.373394 2.0827413,8.413598 2.0094533,8.372966 1.9910088,8.341913 1.967977,8.302262 1.9762644,8.294938"
4,4,"graphs,uniform hypergraphs",6.2099047,1.5630511,"1.7339549,7.947689 2.5852847,7.0818195 2.6697636,7.115091 2.689623,7.1265025 2.7576952,7.192809 2.768359,7.2761016 2.571737,7.665771 2.4879825,7.762929 2.3108997,7.9653788 2.2514715,8.016207 2.197282,8.044989 1.9255648,8.049679"
5,5,"signless laplacian,fractional laplacian",11.707005,3.9302487,"12.215933,1.6904098 12.014525,1.6403068 11.682958,0.530643 11.64941,0.3087981 11.964872,-0.0007646343 12.810052,-0.11936461 13.14572,-0.15569349 13.236271,-0.13239124 13.290793,-0.10996798 13.361193,-0.07363706 13.454181,0.12918092 13.462633,0.86942464 13.428316,0.9048884 12.449328,1.5816607 12.286178,1.6733192"
6,6,"eisenstein series,legendre polynomial",8.605374,1.7165232,"7.794937,0.83451444 7.8195763,0.9470019 7.5805845,1.1393301 7.5725284,1.141326 7.6505556,0.94075334 7.6748095,0.90515476 7.7171702,0.8650816 7.7263594,0.8569114 7.7773046,0.8400122"
7,7,"soliton solution,wave solution",13.124814,4.9188237,"1.6051217,7.32679 1.4586713,7.19256 1.5215808,7.0878186 1.6093007,7.1748204"
8,8,"elasticity,linear elastic",9.513203,8.964552,"1.5401403,7.421078 1.6411215,7.7470927 1.633652,7.928055 1.6015785,8.002178 1.4423032,8.0859785 1.304001,8.131726 1.2017368,8.079795 1.1524879,8.045115 1.0978329,8.001429 1.0584615,7.926376 1.2114186,7.7118545 1.4653639,7.458017"
9,9,"projective variety,smooth projective",10.902098,0.6963505,"1.6194313,7.480101 1.6085242,7.3748655 1.6385577,7.2980466 1.8306155,7.1744018 1.9310828,7.1392374 1.9675508,7.150266 2.0307071,7.2677345 1.8910537,7.562784 1.857415,7.6094904 1.7955838,7.5848374"
