,ID,emb_2d_0,emb_2d_1,topic_id,topic_simil_score,keywords,kwrds_score,is_anomaly
0,10.3934/MINE.2023013,10.984478,9.35531,-1,0.59680474,"heat transport,convection diffusion","0.4806851,0.47361308",True
1,10.3934/MINE.2023011,11.377995,4.538731,-1,0.5494615,"wave solution,variational principle","0.45734566,0.45500675",True
2,10.3934/MINE.2023012,7.498028,6.2014537,77,0.6126355,"deep learning,convolutional neural","0.47549015,0.44804925",False
3,10.3934/mine.2023010,11.445543,3.915596,57,0.57521766,"optimality condition,boundary conditionsin","0.44918227,0.44594452",False
4,10.3934/mine.2023009,10.790548,2.573678,-1,0.4301433,"variational formulation,variational principle","0.4933833,0.47709268",True
5,10.3934/mine.2023008,11.433511,7.945068,-1,0.57009816,"scaling the turbulence,navier stokes","0.45651412,0.43126643",True
6,10.3934/mine.2023007,10.92983,3.4630084,-1,0.5743406,"sobolev space,fractional schrodinger","0.40704507,0.37929982",True
7,10.3934/mine.2023004,11.307446,3.7236326,57,0.6164186,"dirichlet functions,dirichlet boundary","0.54758453,0.4715892",False
8,10.3934/mine.2023001,8.838643,3.7079606,26,0.5910722,"random walk,large deviation","0.51269567,0.44608307",False
9,10.3934/mine.2023005,10.213285,4.9403644,-1,0.48087734,"perturbation theory,singularly perturb","0.5300182,0.42759892",True
10,10.3934/mine.2023006,11.800065,5.0889325,-1,0.5465724,"multiphase flow,advection diffusion","0.48282772,0.43397424",True
11,10.3934/mine.2023003,11.319475,2.4270115,32,0.61588407,"harnack inequality,ricci curvature","0.49637336,0.47404468",False
12,10.1590/1519-6984.247360,6.086631,8.2825985,17,0.22251052,"prescribed,fatty acid","0.23229331,0.2088611",False
13,10.13001/ela.2022.5443,9.615907,1.0686885,-1,0.5722469,"lie algebra,hermitian matrix","0.5267598,0.5186963",True
14,10.13001/ela.2022.5913,6.5426126,2.7263303,-1,0.6256752,"random walk,graphs","0.4948873,0.48285368",True
15,10.13001/ela.2022.5133,6.780167,2.079589,28,0.73831284,"connected graph,edge connectivity","0.48094925,0.44131565",False
16,10.13001/ela.2022.6561,9.071423,2.5360835,-1,0.50982213,"orthogonal polynomial,radial basis","0.42744413,0.40372926",True
17,10.33263/BRIAC126.81748183,7.4380093,9.260894,-1,0.29228717,"infection,biological","0.24204114,0.20732792",True
18,10.33263/BRIAC126.76857696,10.979569,9.571062,74,0.76484084,"convection diffusion,convection","0.4854314,0.47044197",False
19,10.33263/BRIAC126.72497266,6.73218,2.8046222,-1,0.37285304,"several numerical,topological index","0.32120776,0.31566882",True
20,10.33263/BRIAC126.72147225,6.712558,2.744455,-1,0.3842257,"topological index,zagreb index","0.540452,0.42895132",True
21,10.1016/j.aej.2022.03.005,10.522413,7.132784,82,0.7476948,"adaptive mesh,numerical scheme","0.50821066,0.45439065",False
22,10.1016/j.aej.2022.03.033,12.861209,5.064368,53,0.76532614,"soliton solution,optical soliton","0.5477612,0.49278164",False
23,10.1016/j.aej.2022.03.026,8.532796,9.423103,63,0.7198013,"combustion,flame","0.47506344,0.4372524",False
24,10.1016/j.aej.2022.03.035,10.81693,9.532195,-1,0.71034265,"nanofluid flow,nanofluid","0.6183876,0.5215673",True
25,10.1016/j.aej.2022.03.022,13.037148,5.0762053,53,0.6950494,"optical soliton,soliton solution","0.49827132,0.49569744",False
26,10.1016/j.aej.2022.03.011,10.57061,5.242895,-1,0.7218889,"fractional derivative,fractional differential","0.59588444,0.5636978",True
27,10.1016/j.aej.2022.03.015,5.417136,7.5924625,-1,0.62768066,"spread of covid,epidemic model","0.43351975,0.41777265",True
28,10.1016/j.aej.2022.03.013,5.568501,9.344155,18,0.8034185,"epidemic model,spread of covid","0.46234012,0.43862766",False
29,10.1016/j.aej.2022.02.062,5.4516993,7.3909907,51,0.61723197,"statistic,statistical","0.44844592,0.3822704",False
30,10.1186/s40594-022-00345-z,1.7489816,7.3957725,9,0.6427052,"pedagogical content,educational technology","0.5132277,0.46701315",False
31,10.1016/j.aej.2022.03.036,5.3989754,6.1945105,33,0.4664672,"stochastic volatility,forecasting","0.3896075,0.36775762",False
32,10.1016/j.aej.2022.03.020,5.7017426,9.29413,18,0.60492873,"fractional differential,dynamical system","0.3568864,0.34434468",False
33,10.1016/j.fsiml.2022.100074,3.601344,7.764901,1,0.43084994,"mental health,qualitative analysis","0.42572296,0.29572943",False
34,10.22049/CCO.2021.27044.1185,8.900829,5.0427303,46,0.67174184,"convex optimization,optimization algorithm","0.4533103,0.43914843",False
35,10.22049/CCO.2021.26998.1178,6.359423,1.657216,27,0.7606951,"uniform hypergraphs,induced subgraph","0.46831304,0.39997426",False
36,10.22049/cco.2021.27114.1211,5.80776,1.5258374,23,0.8079431,"chromatic number,edge coloring","0.5922426,0.56950855",False
37,10.22049/CCO.2021.27060.1186,6.1379294,1.9864265,-1,0.7252511,"induced subgraph,adjacency","0.4737273,0.44253695",True
38,10.22049/CCO.2021.27126.1200,6.303045,1.7083942,27,0.752848,"roman domination,graphs","0.4599299,0.4474123",False
39,10.1186/s40494-022-00662-0,7.203721,7.3532305,-1,0.24482572,"shishkin mesh,three dimensional","0.34177476,0.29188445",True
40,10.1186/s13661-022-01595-0,10.707159,5.4999,-1,0.6880728,"caputo fractional,caputo derivative","0.5568803,0.50387615",True
41,10.1186/s13662-022-03697-6,10.903405,5.912207,73,0.7972233,"fractional differential,fractional derivative","0.5885618,0.56327003",False
42,10.1186/s13661-022-01596-z,10.971542,6.11613,73,0.66798854,"fractional diffusion,fractional laplacian","0.52124316,0.4962196",False
43,10.1186/s12879-022-07239-z,5.203159,8.17248,19,0.5255376,"vaccine,vaccination program","0.43895495,0.39588186",False
44,10.1186/s41235-022-00377-7,1.9672983,7.971502,4,0.5795306,"spatial skill,teacher education","0.5128932,0.40803713",False
45,10.1186/s40623-022-01600-x,8.454248,7.845784,-1,0.33608404,"seismic,regularization","0.50409997,0.34299815",True
46,10.1186/s40594-022-00342-2,2.7465568,7.308582,4,0.6523092,"cognitive ability,personality trait","0.47014272,0.46453163",False
47,10.1007/s40789-022-00481-5,8.743058,9.049404,63,0.3068249,"dust particle,dust","0.52448356,0.4131037",False
48,10.1186/s13015-022-00210-2,6.4522743,7.8168035,17,0.45585468,"uniqueness,unique","0.3485891,0.31336328",False
