,ID,Keywords,emb_2d_0,emb_2d_1,borders
0,0,"student thinking,student perception",1.7908149,8.006552,"1.5215808,7.941379 1.5215808,7.0818195 2.6697636,7.0818195 2.6697636,7.7091794 1.1524879,7.941379 1.1524879,8.131726 2.0094533,8.131726 3.2206914,7.9919596 3.2206914,7.7091794 2.1333346,8.379973 2.1333346,7.9919596 2.0588915,8.379973 2.0588915,8.372966"
1,1,"gauge theory,quantum gravity",12.744644,0.30535847,"13.076008,1.4232926 13.076008,0.86942464 13.428617,0.86942464 11.822848,1.4232926 11.822848,0.031214718 12.810052,-0.15569349 12.810052,0.031214718 13.361193,0.13134055 13.236271,-0.15569349 13.290793,-0.07363706 13.290793,-0.13239124"
2,2,"graphs,adjacency",6.2899165,1.8105532,"7.1532483,1.4427081 5.882122,2.035037 6.302989,2.1945117 6.302989,2.035037 7.1532483,2.1809828 7.1532483,1.2647426 6.8524075,2.1945117 6.8524075,2.1809828 5.7336416,1.4427081 5.7336416,1.7111152"
3,3,"hilbert space,banach algebra",10.148426,2.43985,"9.564602,1.6388896 10.215113,1.6388896 9.564602,3.0671115 9.564602,2.235612 10.594876,1.6651497 10.594876,3.0671115"
4,4,"galerkin method,discontinuous galerkin",10.5591545,7.3476315,"10.219256,6.813268 10.606579,7.8070145 10.500737,6.813268 10.500737,6.819638 10.761881,7.6586494 10.761881,6.819638 10.6965685,7.6586494 10.6965685,7.7837925"
5,5,"soliton solution,wave solution",13.03401,4.802394,"13.371175,5.1135273 13.371175,5.376751 12.539111,4.263952 12.539111,5.376751 13.208873,4.263952 13.36269,5.1135273 13.36269,4.651043"
6,6,"eisenstein series,legendre polynomial",8.432169,1.6855712,"9.107128,1.184757 8.749079,1.8540406 8.749079,2.5909998 8.9814005,1.184757 8.856365,2.5909998 8.856365,2.3912234 8.12436,1.8540406 8.2454405,0.703946 8.2454405,1.3098682 8.169825,1.3098682 8.169825,1.664402"
7,7,"lie algebra,algebraic structure",10.187379,-0.24557164,"9.524662,-0.43159232 9.524662,0.30292743 10.973882,0.30292743 10.540857,-0.0007646343 9.665332,-0.43159232 9.665332,-0.20638017"
8,8,"signless laplacian,fractional laplacian",11.704307,3.8305953,"11.862648,4.1135583 11.862648,4.1135583 11.129213,4.1135583 11.129213,3.5680268"
9,9,"linear elastic,elasticity",9.547571,8.985552,"9.091564,9.175651 9.770407,8.548328 9.249197,9.175651 9.745539,8.508384 9.745539,8.548328 9.431528,8.912317 9.431528,9.294473"
10,10,"riemannian manifold,ricci curvature",11.571989,2.0540576,"11.079161,1.557196 11.079161,2.590101 11.079161,1.8075393 11.824675,1.557196 11.331972,2.590101 11.331972,2.3507316 11.715361,2.3507316 11.715361,1.6904098"
11,11,"nanofluid flow,convection diffusion",10.856789,9.934492,"10.90695,9.485888 10.53157,9.152329 11.009307,9.485888 11.009307,9.152329 10.53157,9.869061 10.53157,9.152329 10.643713,9.939536 10.643713,9.869061 10.845996,9.86124 10.735177,9.939536 10.735177,9.895226"
12,12,"projective variety,smooth projective",10.862851,0.7022714,"10.523688,0.45631695 10.523688,0.92734396 11.057698,0.45631695 11.057698,0.92734396"
13,13,"statistical inference,likelihood estimation",5.8431983,6.881542,"5.612795,7.3025584 5.655647,7.3025584 5.655647,7.239412 6.330083,6.25332 5.925036,6.25332 6.265186,7.239412 6.265186,6.586847 5.71901,6.6926203 5.71901,6.4611793"
14,14,"fractional differential,fractional diffusion",11.049545,6.0865602,"11.294617,5.7129297 10.587144,5.7129297 10.587144,6.3214192 11.169268,5.7129297 11.169268,6.3214192"
15,15,"lyapunov function,feedback stabilization",9.207836,6.0460386,"9.7273855,5.676488 8.83208,5.676488 9.700977,5.676488 9.700977,6.10371 9.179267,6.2894506 9.27216,6.199638 9.375291,6.10371 9.375291,6.168585"
16,16,"algebraic structure,modules",9.600689,-0.72580826,"9.765766,0.35619837 9.346814,0.35619837 9.712537,-0.926915 9.408981,-0.926915 9.408981,-0.8095683 9.765766,-0.7163171 9.765766,0.35619837"
17,17,"classifier,deep learning",7.156873,6.5732374,"7.273216,6.9649224 7.694171,5.928983 7.694171,6.9649224 6.2584558,6.9649224 7.687907,5.928983 7.687907,5.9534492 6.7882333,5.9534492 6.7882333,6.5100894"
18,18,"wastewater treatment,wastewater",8.285608,9.9838085,"8.565899,10.188106 7.952643,9.190493 8.550668,9.190493 8.550668,9.469033 8.398831,10.188106 8.398831,9.682434"
19,19,"bifurcation,hopf bifurcation",10.921954,4.4219236,"10.010258,5.092844 10.010258,3.9282312 11.358498,3.9282312 10.704406,5.092844 10.704406,4.819244"
20,20,"toeplitz matrix,stiffness matrix",9.25686,5.3630457,"9.913761,5.6058674 9.275272,5.6058674 8.5373535,5.029296 8.206787,5.029296 7.9915915,5.6058674 7.9915915,5.2135367"
21,21,"stochastic differential,backward stochastic",9.504765,4.0866156,"8.954689,3.775401 8.954689,4.4242897 9.848137,3.775401 9.848137,4.4242897"
22,22,"quantum computer,quantum",8.216521,3.920455,"11.872801,0.8702909 10.944168,6.1204743 10.944168,0.8702909 8.285089,6.1204743 8.285089,3.4583251 8.92551,0.36062786 8.92551,3.4583251"
23,23,"alloy,entropy alloy",9.453882,9.883656,"9.530052,9.271645 9.155138,9.271645 9.457012,9.271645 9.457012,9.917449 9.270933,10.138465 9.412856,9.917449 9.412856,10.115013"
24,24,"crack propagation,shear stress",8.851821,8.559144,"9.036618,8.063297 9.036618,8.556689 8.733439,8.063297 8.733439,8.74048 9.064223,8.556689 9.064223,8.74048"
25,25,"viscous dissipation,navier stokes",12.016536,5.497442,"11.708621,5.662029 12.202953,5.2905436 11.975314,5.662029 11.975314,5.609919 12.202953,5.609919 12.202953,5.2905436"
26,26,"turbulent flow,turbulent",10.893195,8.4312525,"10.697896,8.756576 10.697896,8.244744 11.0331135,8.756576 11.248638,8.244744 11.113585,8.756576 11.113585,8.263285"
27,27,"groups,subgroup",9.061948,0.43731332,"9.699733,0.52016497 8.94218,0.52016497 9.699733,0.52016497 9.143006,0.3473993 9.263196,0.31785098 9.263196,0.3118849"
28,28,"linear elastic,stiffness matrix",9.27598,7.828244,"9.819916,7.5759106 9.016842,7.5759106 9.819916,7.5759106 9.521503,8.079747 9.521503,8.187857"
29,29,"neural network,deep learning",7.3687916,7.092401,"6.730843,6.4563007 7.6251674,6.4563007 7.6251674,6.9752045 7.277083,6.9752045 7.277083,7.449692"
30,30,"bifurcation,hopf bifurcation",6.3620577,9.360702,"6.167382,9.015526 6.6053343,8.895367 6.1922426,9.015526 6.6053343,9.340621 6.6053343,8.895367 6.2455297,9.340621 6.2455297,9.146193"
